primary_segment;cup;cig;title;category;region;province;municipality;value_eur;client;contractors;contractor_tax_codes;award_amount_eur;award_share_pct;award_weight;ratio_note;award_date;award_result;award_criteria;award_discount;admitted_offers;bidders_count;subcontracting;included_services;id_aggiudicazione;source_url
Impiantisti sottoservizi;C68B22000170005;B35862B4A5;INTERVENTO INTEGRATO PER LEFFICIENTAMENTO DELLE RETI DI DISTRIBUZIONE DI ALCUNI COMUNI DELLAMBITO TERRITORIALE OTTIMALE N. 5 LAZIO MERIDIONALE - FROSINONE;Ambiente / rifiuti / depurazione;LAZIO;FROSINONE;CASSINO;33390000.0;ACEA ATO 5 SPA;ACEA INFRASTRUCTURE S.P.A. (OPERATORE ECONOMICO MONOSOGGETTIVO);04284731009;116194.82;0.34799287211740043;Affidamento minore;Importo aggiudicazione inferiore allo 0,5% del valore progetto;2024-09-13;AGGIUDICATA;;0.0;;;false;;13283866;https://www.opencup.gov.it/portale/progetto/-/cup/C68B22000170005
Edilizia;J81B22001940006;9491977337;PROGETTO CINECITTÀ CINECITTÀ S.P.A.;Cultura / centri civici;LAZIO;ROMA;ROMA;34350000.0;soggetto privato;''MGA EDILIZIA S.R.L.'';14930831004;120000.0;0.34934497816593885;Affidamento minore;Importo aggiudicazione inferiore allo 0,5% del valore progetto;2022-11-17;AGGIUDICATA;;0.0;1;1;false;SOLA ESECUZIONE;2623322;https://www.opencup.gov.it/portale/progetto/-/cup/J81B22001940006
Lavori pubblici strade;B81B23000590003;B47DF1BDB5;NUOVA REALIZZAZIONE BRETELLA DI OSIMO (AN).;Infrastrutture / parcheggi;MARCHE;ANCONA;OSIMO;35000000.0;REGIONE MARCHE;VEGA ENGINEERING S.R.L. - UNIPERSONALE (OPERATORE ECONOMICO MONOSOGGETTIVO);07318770968;125000.0;0.35714285714285715;Affidamento minore;Importo aggiudicazione inferiore allo 0,5% del valore progetto;2024-11-27;AGGIUDICATA;;0.0;;;false;;14038903;https://www.opencup.gov.it/portale/progetto/-/cup/B81B23000590003
Impiantisti sottoservizi;D92E22000110002;9967293662;EFFICIENTAMENTO RETE IDRICA, DIGITALIZZAZIONE, RIDUZIONE DELLE PERDITE: RETE IDRICA GESTITA DA VIVA SERVIZI SPA PER I COMUNI DI ANCONA- FALCONARA, SENIGALLIA, JESI, FABRIANO, MATELICA, SASSOFERRATO;Ambiente / rifiuti / depurazione;MARCHE;ANCONA;ANCONA;32471144.0;soggetto privato;DHI S.R.L.;07741870013;116250.0;0.3580101766663965;Affidamento minore;Importo aggiudicazione inferiore allo 0,5% del valore progetto;2023-08-22;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: CRITERIO DEL MINOR PREZZO;0.0;1;1;false;SOLA ESECUZIONE;2593630;https://www.opencup.gov.it/portale/progetto/-/cup/D92E22000110002
Impiantisti sottoservizi;F37J22000010007;B0901BB163;DIGITALIZZAZIONE DELLE RETI ED ALLA RIDUZIONE DELLE PERDITE IDRICHE  CONFERENZA TERRITORIALE N°2  TOSCANA;Ambiente / rifiuti / depurazione;TOSCANA;PISA;VICOPISANO;39690842.0;ACQUE SPA;CASTAF S.R.L. (OPERATORE ECONOMICO MONOSOGGETTIVO);00973060502;142234.88;0.35835692273799585;Affidamento minore;Importo aggiudicazione inferiore allo 0,5% del valore progetto;2024-02-25;AGGIUDICATA;;0.0;;;false;;10555017;https://www.opencup.gov.it/portale/progetto/-/cup/F37J22000010007
Edilizia;B88E18000030005;9003145E46;UNIVERSITA' LA SAPIENZA - AREA GESTIONE EDILIZIA;Scuole / formazione;LAZIO;ROMA;ROMA;39386500.0;"UNIVERSITA' DEGLI STUDI ""LA SAPIENZA""";SIT SOCIETA' ITALIANA TECNOLOGICA S.R.L.;12266081004;141362.697;0.3589115483731735;Affidamento minore;Importo aggiudicazione inferiore allo 0,5% del valore progetto;2022-02-02;AGGIUDICATA;;5.0;1;1;false;SOLA ESECUZIONE;2342747;https://www.opencup.gov.it/portale/progetto/-/cup/B88E18000030005
Edilizia;B87G19000000005;7891555D30;RIQUALIFICAZIONE GENERALE PRINCIPE UMBERTO;Riqualificazione urbana;LAZIO;ROMA;ROMA;39000000.0;ISTITUTO POLIGRAFICO E ZECCA DELLO STATO S.P.A.;ITS HOLDING S.R.L.;08202940584;140021.42;0.3590292820512821;Affidamento minore;Importo aggiudicazione inferiore allo 0,5% del valore progetto;2019-11-26;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIU' VANTAGGIOSA;69.91;8;8;false;SOLA ESECUZIONE;1691248;https://www.opencup.gov.it/portale/progetto/-/cup/B87G19000000005
Edilizia;C35F21000210008;9250874EB6;INTERVENTO DI RECUPERO DI PALAZZO SALADINI PILASTRI;Sanità / RSA;MARCHE;ASCOLI PICENO;ASCOLI PICENO;33411252.0;COMUNE DI ASCOLI PICENO - AP -;RINA CHECK S.R.L.;01927190999;121139.48;0.3625709087465504;Affidamento minore;Importo aggiudicazione inferiore allo 0,5% del valore progetto;2022-08-26;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: MIGLIOR RAPPORTO QUALITÀ / PREZZO;59.986;1;1;false;SOLA ESECUZIONE;2317859;https://www.opencup.gov.it/portale/progetto/-/cup/C35F21000210008
Lavori pubblici strade;I71B02000030019;5864152351;SR69- tratto la Levane a Loc.Acquaviva in variante;Infrastrutture / parcheggi;TOSCANA;AREZZO;MONTEVARCHI;45500000.0;AMMINISTRAZIONE PROVINCIALE DI AREZZO;NET ENGINEERING S.R.L. (MANDANTE) | CHIARINI ASSOCIATI -INGEGNERIA CIVILE E AMBIENTALE DEGLI INGEGNERI CHIARINI REMO, CONVERTINO COSIMO, BIGAZZI LUIGI, BERNI ALESSANDRO E CHIARINI ANDREA (MANDATARIA);01914700511 | 80018830382;167000.0;0.367032967032967;Affidamento minore;Importo aggiudicazione inferiore allo 0,5% del valore progetto;2014-07-24;AGGIUDICATA;PREZZO PIU' BASSO;0.0;1;1;false;SOLA ESECUZIONE;714109;https://www.opencup.gov.it/portale/progetto/-/cup/I71B02000030019
Edilizia;I65F23000090005;9738409555;AZIENDA OSPEDALIERA UNIVERSITARIA SENESE OSPEDALE SANTA MARIA ALLE SCOTTE;Sanità / RSA;TOSCANA;SIENA;SIENA;47300400.0;AZIENDA OSPEDALIERA UNIVERSITARIA SENESE;ATIPROJECT S.R.L.;02255140507;174506.17;0.3689317003661703;Affidamento minore;Importo aggiudicazione inferiore allo 0,5% del valore progetto;2023-10-25;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: MIGLIOR RAPPORTO QUALITÀ / PREZZO;39.16;9;9;false;SOLA ESECUZIONE;2844254;https://www.opencup.gov.it/portale/progetto/-/cup/I65F23000090005
