primary_segment;cup;cig;title;category;region;province;municipality;value_eur;client;contractors;contractor_tax_codes;award_amount_eur;award_share_pct;award_weight;ratio_note;award_date;award_result;award_criteria;award_discount;admitted_offers;bidders_count;subcontracting;included_services;id_aggiudicazione;source_url
Edilizia;J69J21013810001;94225706BE;REGIONE PIEMONTE;Riqualificazione urbana;PIEMONTE;TUTTE;TUTTI;39068420.0;REGIONE PIEMONTE;POWERBUS SRL;04590990273;480000.0;1.2286138011212124;Lotto / servizio significativo;Rapporto importo/valore coerente;2022-11-16;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: MIGLIOR RAPPORTO QUALITÀ / PREZZO;0.0;1;1;false;SOLA ESECUZIONE;2324861;https://www.opencup.gov.it/portale/progetto/-/cup/J69J21013810001
Lavori pubblici strade;H17H21010150005;A0616614A6;AEROPORTI DI MILANO LINATE E MILANO MALPENSA;Infrastrutture / parcheggi;LOMBARDIA;MILANO;SEGRATE;40000000.0;SOCIETÀ PER AZIONI ESERCIZI AEROPORTUALI S.E.A.;CPL CONCORDIA SOCIETA' COOPERATIVA (MANDANTE) | CEFLA S.C. (MANDANTE) | GENCANTIERI S.P.A. (MANDATARIA);00154950364 | 00499791200 | 05310070965;477042.4;1.192606;Lotto / servizio significativo;Rapporto importo/valore coerente;2024-09-05;AGGIUDICATA;;0.0;0;0;true;;2838181;https://www.opencup.gov.it/portale/progetto/-/cup/H17H21010150005
Lavori pubblici strade;I61B07000290005;028319109B;A 4 AUTOSTRADA TORINO TRIESTE;Infrastrutture / parcheggi;FRIULI-VENEZIA GIULIA;UDINE;RONCHIS;37241000.0;SOCIETA' AUTOSTRADE ALTO ADRIATICO - TRIESTE;COOPERATIVA DI COSTRUZIONI - SOCIETA' COOPERATIVA;00175840362;474423.24;1.273927230740313;Lotto / servizio significativo;Rapporto importo/valore coerente;2009-02-10;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIU' VANTAGGIOSA;0.0;0;0;true;SOLA ESECUZIONE;510940;https://www.opencup.gov.it/portale/progetto/-/cup/I61B07000290005
Impiantisti sottoservizi;G52E22000020002;A0670D271B;PROGETTO PER LA RIDUZIONE DELLE PERDITE NELLE RETI DI DISTRIBUZIONE DELLACQUA, COMPRESA LA DIGITALIZZAZIONE E IL MONITORAGGIO DELLE RETI IN PROVINCIA DI LECCO PIANO NAZIONALE PER LA RIPRESA E RESILIENZA - M2C4 - I4.2;Ambiente / rifiuti / depurazione;LOMBARDIA;LECCO;SUELLO;44922758.0;LARIO RETI HOLDING S.P.A.;BRAMBILLA ALFREDO S.R.L.;02162590133;473893.14;1.054906602128035;Lotto / servizio significativo;Rapporto importo/valore coerente;2025-01-08;AGGIUDICATA;;0.0;0;0;false;;2890500;https://www.opencup.gov.it/portale/progetto/-/cup/G52E22000020002
Edilizia;F93G22000030001;A063FEDDBE;38 POLI CIVICI CULTURALI NEI COMUNI DELLAREA METROPOLITANA.;Riqualificazione urbana;LAZIO;ROMA;RIOFREDDO;40975000.0;CITTA' METROPOLITANA DI ROMA CAPITALE;CONSORZIO CONCORDIA - COSTRUZIONI GENERALI IN FORMA ABBREVIATA CONSORZIO CONCORDIA (MANDATARIA) | SQUALO 7 SOCIETA' A RESPONSABILITA' LIMITATA (MANDANTE);02344400649 | 13974831003;471362.62;1.150366369737645;Lotto / servizio significativo;Rapporto importo/valore coerente;2024-10-31;AGGIUDICATA;;0.0;0;0;false;;2869170;https://www.opencup.gov.it/portale/progetto/-/cup/F93G22000030001
Impiantisti sottoservizi;F37J22000010007;B6AD4EFF73;DIGITALIZZAZIONE DELLE RETI ED ALLA RIDUZIONE DELLE PERDITE IDRICHE  CONFERENZA TERRITORIALE N°2  TOSCANA;Ambiente / rifiuti / depurazione;TOSCANA;PISA;VICOPISANO;39690842.0;ACQUE SPA;MOVITER S.R.L. (OPERATORE ECONOMICO MONOSOGGETTIVO);06277020480;470817.95;1.1862130564022804;Lotto / servizio significativo;Rapporto importo/valore coerente;2025-01-16;AGGIUDICATA;;0.0;;;false;;16185816;https://www.opencup.gov.it/portale/progetto/-/cup/F37J22000010007
Edilizia;F93G22000030001;B8E15FD569;38 POLI CIVICI CULTURALI NEI COMUNI DELLAREA METROPOLITANA.;Riqualificazione urbana;LAZIO;ROMA;RIOFREDDO;40975000.0;CITTA' METROPOLITANA DI ROMA CAPITALE;IMPRENDO ITALIA S.P.A. (OPERATORE ECONOMICO MONOSOGGETTIVO);11213441006;470424.7;1.1480773642464919;Lotto / servizio significativo;Rapporto importo/valore coerente;2025-10-30;AGGIUDICATA;;0.0;;;false;;18365078;https://www.opencup.gov.it/portale/progetto/-/cup/F93G22000030001
Edilizia;G21B21004870001;9139695AE7;VIA ROMA PIAZZA MATTEOTTI PIAZZA AMENDOLA LUNGOMARE NY 11 SETTEMBRE;Riqualificazione urbana;SARDEGNA;CAGLIARI;CAGLIARI;80000000.0;COMUNE DI CAGLIARI - CA -;COOPROGETTI SOCIETA' COOPERATIVA (MANDATARIA) | RTP GUENDALINA SALIMEI TSTUDIO (Mandataria) u2013 GA&M SRL, GALLO DANILO (Mandanti) (MANDANTE) | VPS S.R.L. (MANDANTE);00424850543 | 03170160927 | 10279320583;469277.814;0.5865972675;Affidamento minore;Rapporto importo/valore coerente;2022-12-30;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: MIGLIOR RAPPORTO QUALITÀ / PREZZO;55.46;7;7;true;SOLA ESECUZIONE;2463978;https://www.opencup.gov.it/portale/progetto/-/cup/G21B21004870001
Lavori pubblici strade;F84E07000310001;741377697D;S.S. 131 CARLO FELICE;Infrastrutture / parcheggi;SARDEGNA;SASSARI;SASSARI;49368604.0;ANAS S.P.A.;PRO ITER - PROGETTO INFRASTRUTTURE TERRITORIO - S.R.L. O PRO IT ER - S.R.L. (MANDATARIA) | DELTA INGEGNERIA S.R.L. (MANDANTE);01786190221 | 12688370159;466319.83;0.9445675838838788;Affidamento minore;Rapporto importo/valore coerente;2018-03-05;AGGIUDICATA;;0.0;0;0;true;;1587811;https://www.opencup.gov.it/portale/progetto/-/cup/F84E07000310001
Impiantisti sottoservizi;I81D22000000006;B761F9D655;ACQUEDOTTO LUCANO SPA - RIDUZIONE DELLE PERDITE NELLE RETI DI DISTRIBUZIONE DELL'ACQUA POTABILE, MEDIANTE INTERVENTI DI DISTRETTUALIZZAZIONE, DIGITALIZZAZIONE E MONITORAGGIO, SMART METERING;Ambiente / rifiuti / depurazione;BASILICATA;MATERA;TURSI;49500000.0;ACQUEDOTTO LUCANO SPA;SANTORO S.R.L. (OPERATORE ECONOMICO MONOSOGGETTIVO);00926110768;464914.92;0.9392220606060606;Affidamento minore;Rapporto importo/valore coerente;2025-06-23;AGGIUDICATA;;0.0;;;false;;16882213;https://www.opencup.gov.it/portale/progetto/-/cup/I81D22000000006
